place_id,place_name,landmark,latitude,longitude,description
2,"Lalbagh Botanical Garden, Bangalore, India",Lalbagh Glasshouse,12.9498,77.586561,From OSMnx
2,"Lalbagh Botanical Garden, Bangalore, India",Kempegowda Tower,12.948603,77.589404,From OSMnx
2,"Lalbagh Botanical Garden, Bangalore, India",Peninsular Gneiss National Monument,12.949136,77.589386,From OSMnx
2,"Lalbagh Botanical Garden, Bangalore, India",Chamarajendra Wodeyar Statue,12.95167,77.584785,From OSMnx
2,"Lalbagh Botanical Garden, Bangalore, India",Pigeon Hole,12.948057,77.587971,From OSMnx
2,"Lalbagh Botanical Garden, Bangalore, India",Dr M H Mari Gowda Statue,12.953051,77.58512,From OSMnx
2,"Lalbagh Botanical Garden, Bangalore, India",Harini Express,12.949532,77.589569,From OSMnx
2,"Lalbagh Botanical Garden, Bangalore, India",Monument Inside Lalbagh,12.949765,77.584014,From OSMnx
2,"Lalbagh Botanical Garden, Bangalore, India",Big White Silk Tree,12.949976,77.582863,From OSMnx
2,"Lalbagh Botanical Garden, Bangalore, India",Topiary Garden,12.950673,77.583086,From OSMnx
3,"Cubbon Park, Bangalore, India",Seshadri Iyer Statue,12.973524,77.590361,From OSMnx
3,"Cubbon Park, Bangalore, India",Chamarajendra Wodeyar Statue,12.975258,77.59327,From OSMnx
3,"Cubbon Park, Bangalore, India",Bird and Rabbit park,12.977007,77.596936,From OSMnx
3,"Cubbon Park, Bangalore, India",Mark Cubbon Statue,12.976316,77.594281,From OSMnx
3,"Cubbon Park, Bangalore, India",Peninsular Gneiss,12.977654,77.59737,From OSMnx
3,"Cubbon Park, Bangalore, India",Map,12.979476,77.595155,From OSMnx
3,"Cubbon Park, Bangalore, India",Bengaluru Logo,12.976502,77.590991,From OSMnx
3,"Cubbon Park, Bangalore, India",Nature Trail,12.976142,77.591439,From OSMnx
3,"Cubbon Park, Bangalore, India",Lion Statue 2 - Attara Kacheri Gate,12.977194,77.593455,From OSMnx
3,"Cubbon Park, Bangalore, India",Lion Statue 1,12.977141,77.593395,From OSMnx
3,"Cubbon Park, Bangalore, India",Information Board - High Court Attara Kacheri,12.977065,77.593372,From OSMnx
3,"Cubbon Park, Bangalore, India",Tree Hunt! (Zone 3),12.980133,77.596711,From OSMnx
3,"Cubbon Park, Bangalore, India",Emergency Contact Numbers,12.980121,77.596706,From OSMnx
